GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,100,20000,2.00,7,40,40,0,100.00,0.16,814854,361,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,40,40,0,100.00,0.16,838127,366,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,39,39,0,100.00,0.16,876955,357,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,39,39,0,100.00,0.16,882895,357,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,40,40,0,100.00,0.16,895035,359,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,39,38,0,100.00,0.16,906226,348,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,39,39,0,100.00,0.16,907391,347,Max. coverage
Springs,EDF,Uniform,Hard,100,20000,2.00,7,39,39,0,100.00,0.16,916672,347,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,12,12,0,100.00,0.38,5851,89,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,5821,100,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,9228,104,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,9472,104,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,968,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,1037,48,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,9249,106,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,12,12,0,100.00,0.38,11439,95,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.31,1737,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,1913,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,2314,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,2052,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,2084,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,2448,48,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,12091,103,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,13844,104,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,12,12,0,100.00,0.38,5932,97,Max. coverage
