GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number, Sol. Cost ,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Mem. Usage (kb),Iterations,Exit condition
Random (Discr.),None,Uniform,Soft,1000,1000,0.00,12,2,2.000000,2,0,100.00,0.15,166,6984.00,120,Max. coverage
Greedy,None,Uniform,Hard,100,5000,0.50,12,7,7.000000,7,0,100.00,0.28,14069,104740.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,83,15083.000000,8,0,99.93,0.09,999438,1571668.00,1,Max. iterations
Random (Discr.),None,Uniform,Hard,1000,20000,0.02,12,108,108.000000,13,0,100.00,0.07,1110470,202968.00,14605,Max. coverage
Greedy,None,Uniform,Hard,1000,20000,0.02,12,77,4077.000000,9,0,99.98,0.11,988017,1571672.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,69.000000,7,0,100.00,0.06,215785,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,66,66.000000,8,0,100.00,0.06,254291,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,66,66.000000,7,0,100.00,0.07,226610,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,61,61.000000,7,0,100.00,0.07,221451,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,61,61.000000,7,0,100.00,0.07,242500,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,61,61.000000,7,0,100.00,0.07,245594,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,61,61.000000,7,0,100.00,0.07,250687,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,61,61.000000,7,0,100.00,0.07,281052,398380.00,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0.00,12,208,208.000000,8,0,100.00,0.04,2114731,1571668.00,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0.00,12,205,205.000000,8,0,100.00,0.04,1720627,1571676.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,88,88.000000,9,0,100.00,0.09,822475,1571672.00,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,86,86.000000,11,0,100.00,0.09,995361,1571672.00,1,Max. iterations
